data_type,continent,country,demographic,signup_date,day,time_period,job_category,posting_date,region,job_type,skill,demo_type,request_date,event_type,query_date,query_type
job type data,Australia,Australia,Academic,2024/05/16,Thursday,Morning (6AM-12PM),Product Management,2024/05/23,Europe,Full-Time,JavaScript,Small Business,2024/11/21,job posting data,2023/01/17,region search
promotional event data,Europe,UK,Individual,2024/10/14,Sunday,Afternoon (12PM-6PM),Customer Support,2023/03/17,Australia,Contract,Python,Academic,2024/07/28,job posting data,2024/01/26,category query
user data,Europe,France,Startup,2024/06/14,Sunday,Afternoon (12PM-6PM),Marketing,2023/06/15,Africa,Full-Time,SQL,Individual,2023/04/22,job posting data,2023/08/18,job search
job type data,South America,Chile,Startup,2024/08/18,Monday,Afternoon (12PM-6PM),Customer Support,2023/07/06,South America,Full-Time,SQL,Small Business,2023/04/19,promotional event data,2024/10/29,region search
job posting data,Australia,Australia,Small Business,2024/09/01,Saturday,Afternoon (12PM-6PM),Customer Support,2023/10/18,Australia,Full-Time,Excel,Enterprise,2023/11/09,assistant data,2023/06/10,job search
user data,North America,Mexico,Startup,2023/04/16,Tuesday,Night (12AM-6AM),Marketing,2024/10/16,North America,Contract,C++,Individual,2023/01/12,assistant data,2024/02/29,category query
user data,North America,Canada,Startup,2024/11/19,Sunday,Afternoon (12PM-6PM),Sales,2024/09/04,South America,Part-Time,JavaScript,Enterprise,2024/04/24,job posting data,2023/04/20,category query
demographic data,North America,Canada,Enterprise,2024/08/24,Wednesday,Evening (6PM-12AM),Customer Support,2023/11/25,Asia,Part-Time,SQL,Individual,2024/01/02,assistant data,2024/12/27,job search
assistant data,Africa,Kenya,Individual,2023/03/11,Sunday,Afternoon (12PM-6PM),Marketing,2023/11/25,North America,Part-Time,Python,Enterprise,2023/12/13,assistant data,2023/09/06,category query
job type data,South America,Brazil,Small Business,2023/09/30,Sunday,Afternoon (12PM-6PM),Design,2024/08/02,North America,Full-Time,Excel,Enterprise,2023/04/27,assistant data,2024/11/22,region search
promotional event data,North America,USA,Small Business,2023/04/09,Tuesday,Afternoon (12PM-6PM),Marketing,2023/10/02,Asia,Internship,JavaScript,Academic,2023/12/17,assistant data,2024/08/05,region search
assistant data,Asia,India,Small Business,2024/09/13,Saturday,Afternoon (12PM-6PM),Marketing,2023/08/02,Europe,Full-Time,C++,Academic,2024/11/28,assistant data,2023/11/04,category query
user data,North America,Canada,Academic,2023/08/29,Friday,Afternoon (12PM-6PM),Customer Support,2024/03/13,Asia,Internship,Python,Enterprise,2024/04/04,promotional event data,2024/04/22,job search
promotional event data,North America,Canada,Small Business,2024/04/18,Saturday,Night (12AM-6AM),Customer Support,2024/06/05,North America,Part-Time,SQL,Small Business,2023/02/04,assistant data,2024/10/13,category query
promotional event data,Europe,France,Enterprise,2023/06/08,Friday,Evening (6PM-12AM),Design,2023/02/05,Australia,Contract,Excel,Enterprise,2024/09/07,assistant data,2023/12/28,category query
promotional event data,Asia,Japan,Academic,2023/01/20,Wednesday,Afternoon (12PM-6PM),Customer Support,2023/09/08,Europe,Full-Time,Excel,Individual,2024/02/03,promotional event data,2023/09/06,category query
demographic data,Europe,France,Small Business,2024/02/22,Wednesday,Evening (6PM-12AM),Marketing,2024/01/07,Asia,Full-Time,SQL,Enterprise,2024/03/18,job posting data,2023/02/01,region search
user data,Australia,Australia,Enterprise,2023/07/31,Friday,Night (12AM-6AM),Engineering,2024/01/21,North America,Part-Time,Excel,Small Business,2023/12/18,job posting data,2023/10/25,category query
assistant data,Asia,China,Startup,2023/04/06,Friday,Morning (6AM-12PM),Customer Support,2023/07/12,Africa,Part-Time,JavaScript,Academic,2024/03/14,assistant data,2024/10/27,job search
job posting data,Asia,India,Small Business,2024/02/15,Tuesday,Night (12AM-6AM),Design,2024/01/15,Australia,Contract,C++,Small Business,2023/02/16,assistant data,2023/12/28,category query
job posting data,North America,USA,Startup,2024/03/05,Saturday,Night (12AM-6AM),Engineering,2024/09/25,Australia,Internship,Python,Academic,2024/02/28,job posting data,2024/02/07,job search
demographic data,North America,USA,Small Business,2023/10/11,Wednesday,Night (12AM-6AM),Marketing,2024/02/18,Asia,Internship,Excel,Academic,2024/07/08,job posting data,2023/05/02,category query
job type data,Europe,UK,Startup,2023/07/20,Thursday,Evening (6PM-12AM),Design,2023/08/30,Australia,Full-Time,Excel,Individual,2024/03/20,job posting data,2023/08/07,region search
assistant data,North America,Mexico,Startup,2024/11/17,Friday,Evening (6PM-12AM),Customer Support,2023/06/13,Asia,Internship,Excel,Small Business,2024/02/16,assistant data,2023/05/25,category query
job type data,Australia,Australia,Enterprise,2024/10/03,Friday,Night (12AM-6AM),Customer Support,2024/01/11,Europe,Full-Time,JavaScript,Enterprise,2023/09/26,promotional event data,2024/01/24,job search
promotional event data,Africa,Nigeria,Individual,2023/03/26,Sunday,Night (12AM-6AM),Engineering,2023/02/12,Europe,Full-Time,JavaScript,Enterprise,2023/01/31,job posting data,2024/05/18,category query
job type data,North America,USA,Startup,2023/04/20,Saturday,Afternoon (12PM-6PM),Marketing,2023/07/31,North America,Part-Time,JavaScript,Small Business,2024/06/20,job posting data,2023/04/23,job search
user data,South America,Chile,Small Business,2024/04/18,Wednesday,Morning (6AM-12PM),Engineering,2023/11/11,South America,Full-Time,Excel,Enterprise,2024/04/30,assistant data,2023/04/25,category query
job type data,Australia,Australia,Individual,2023/08/11,Friday,Evening (6PM-12AM),Sales,2024/05/03,Europe,Full-Time,SQL,Small Business,2024/04/14,promotional event data,2024/06/14,region search
promotional event data,Australia,Australia,Startup,2024/08/02,Thursday,Night (12AM-6AM),Design,2023/02/08,Asia,Contract,Java,Academic,2023/08/31,assistant data,2024/07/14,category query
promotional event data,South America,Argentina,Individual,2023/11/29,Thursday,Afternoon (12PM-6PM),Marketing,2023/12/16,Asia,Contract,Python,Academic,2024/07/06,promotional event data,2023/07/14,category query
promotional event data,North America,USA,Small Business,2023/06/09,Saturday,Morning (6AM-12PM),Product Management,2023/10/04,South America,Contract,Java,Academic,2023/04/23,job posting data,2023/02/27,job search
job posting data,Europe,Germany,Enterprise,2023/05/23,Tuesday,Afternoon (12PM-6PM),Design,2024/01/03,Asia,Contract,Java,Individual,2024/12/26,promotional event data,2023/01/31,region search
job type data,Europe,Germany,Individual,2023/09/10,Friday,Night (12AM-6AM),Customer Support,2024/04/21,North America,Part-Time,Excel,Individual,2024/07/18,assistant data,2023/07/26,category query
assistant data,North America,Canada,Enterprise,2023/08/17,Friday,Night (12AM-6AM),Customer Support,2023/01/20,Asia,Part-Time,JavaScript,Individual,2024/06/26,job posting data,2023/01/23,job search
job type data,North America,USA,Academic,2023/02/13,Thursday,Morning (6AM-12PM),Sales,2023/11/08,Europe,Full-Time,Python,Academic,2023/04/08,assistant data,2023/06/25,category query
demographic data,Europe,UK,Academic,2023/03/13,Wednesday,Night (12AM-6AM),Marketing,2023/07/15,South America,Contract,Java,Individual,2024/04/30,job posting data,2023/01/25,region search
job type data,North America,Mexico,Academic,2023/12/18,Friday,Evening (6PM-12AM),Marketing,2024/10/03,Asia,Full-Time,C++,Small Business,2023/05/24,promotional event data,2024/03/22,region search
job posting data,Europe,France,Startup,2024/01/30,Wednesday,Afternoon (12PM-6PM),Sales,2023/07/11,Australia,Full-Time,SQL,Enterprise,2024/10/08,assistant data,2024/06/08,job search
promotional event data,South America,Argentina,Individual,2023/02/15,Monday,Night (12AM-6AM),Sales,2023/01/23,North America,Internship,Java,Individual,2024/07/19,promotional event data,2024/02/21,region search
assistant data,Europe,UK,Individual,2023/09/25,Friday,Afternoon (12PM-6PM),Engineering,2024/12/22,Africa,Contract,C++,Small Business,2024/08/26,assistant data,2023/01/03,job search
assistant data,North America,Canada,Enterprise,2024/12/10,Monday,Morning (6AM-12PM),Design,2023/05/10,North America,Full-Time,Excel,Academic,2024/11/26,job posting data,2024/03/17,job search
demographic data,Europe,France,Enterprise,2024/11/06,Saturday,Evening (6PM-12AM),Engineering,2024/09/08,Australia,Part-Time,JavaScript,Individual,2024/04/25,assistant data,2023/04/28,region search
user data,Europe,Germany,Individual,2024/01/08,Sunday,Evening (6PM-12AM),Product Management,2024/07/06,Asia,Full-Time,C++,Enterprise,2024/09/13,job posting data,2023/11/11,job search
promotional event data,Europe,UK,Academic,2024/12/18,Tuesday,Morning (6AM-12PM),Product Management,2024/05/12,Australia,Full-Time,Java,Individual,2023/03/22,job posting data,2023/02/08,job search
assistant data,North America,Canada,Academic,2024/06/03,Friday,Afternoon (12PM-6PM),Product Management,2024/12/05,Asia,Contract,Excel,Individual,2024/09/26,job posting data,2024/10/09,job search
user data,Asia,India,Small Business,2023/07/08,Monday,Morning (6AM-12PM),Marketing,2024/11/26,South America,Contract,C++,Enterprise,2023/03/26,job posting data,2023/12/28,region search
assistant data,Africa,Kenya,Academic,2023/04/14,Saturday,Evening (6PM-12AM),Product Management,2024/06/06,South America,Part-Time,SQL,Individual,2023/03/01,assistant data,2024/06/18,job search
promotional event data,Asia,China,Individual,2024/10/21,Monday,Afternoon (12PM-6PM),Marketing,2023/02/16,North America,Part-Time,JavaScript,Small Business,2024/03/18,promotional event data,2024/01/13,job search
job type data,Europe,France,Academic,2023/11/21,Thursday,Evening (6PM-12AM),Design,2024/02/04,Europe,Contract,JavaScript,Academic,2024/10/12,job posting data,2024/12/26,region search
job posting data,Australia,Australia,Startup,2024/04/11,Saturday,Evening (6PM-12AM),Design,2024/07/07,North America,Internship,Java,Small Business,2024/05/04,job posting data,2023/03/07,job search
job type data,Asia,China,Startup,2024/01/13,Thursday,Afternoon (12PM-6PM),Design,2023/12/31,North America,Internship,C++,Academic,2023/08/28,promotional event data,2023/08/18,category query
demographic data,South America,Chile,Individual,2023/02/13,Monday,Afternoon (12PM-6PM),Sales,2023/09/07,Africa,Contract,Python,Enterprise,2024/01/19,assistant data,2024/02/07,job search
promotional event data,Australia,Australia,Academic,2024/04/18,Monday,Evening (6PM-12AM),Design,2023/10/29,Europe,Full-Time,Java,Enterprise,2024/04/25,promotional event data,2024/04/07,job search
demographic data,South America,Chile,Academic,2024/07/20,Monday,Night (12AM-6AM),Sales,2024/07/14,Europe,Contract,C++,Small Business,2023/05/04,promotional event data,2023/07/31,region search
job posting data,North America,USA,Small Business,2023/07/05,Saturday,Night (12AM-6AM),Engineering,2023/11/01,Asia,Internship,Python,Enterprise,2024/07/01,assistant data,2023/07/13,category query
job posting data,South America,Chile,Startup,2023/10/06,Sunday,Night (12AM-6AM),Product Management,2023/02/25,Australia,Internship,JavaScript,Academic,2023/03/23,promotional event data,2024/05/21,category query
user data,Australia,Australia,Small Business,2023/05/05,Sunday,Morning (6AM-12PM),Sales,2024/01/05,North America,Full-Time,Excel,Individual,2024/12/08,job posting data,2024/01/20,job search
demographic data,Asia,Japan,Startup,2024/06/04,Monday,Morning (6AM-12PM),Customer Support,2023/04/19,Europe,Full-Time,Python,Academic,2024/05/06,promotional event data,2023/11/29,job search
job type data,Africa,South Africa,Enterprise,2023/03/21,Tuesday,Morning (6AM-12PM),Marketing,2024/01/22,Australia,Internship,Java,Academic,2024/02/16,promotional event data,2024/07/02,region search
promotional event data,South America,Brazil,Startup,2024/11/29,Thursday,Afternoon (12PM-6PM),Marketing,2023/10/26,North America,Part-Time,Excel,Academic,2023/08/25,job posting data,2024/10/03,region search
assistant data,North America,Canada,Academic,2024/11/21,Saturday,Morning (6AM-12PM),Customer Support,2023/08/14,South America,Internship,Excel,Academic,2023/08/27,promotional event data,2024/11/15,job search
promotional event data,Africa,Nigeria,Startup,2023/01/01,Friday,Morning (6AM-12PM),Design,2023/09/10,Africa,Full-Time,SQL,Academic,2024/01/12,assistant data,2024/10/30,region search
demographic data,Africa,Kenya,Startup,2024/03/29,Friday,Afternoon (12PM-6PM),Design,2024/01/29,South America,Full-Time,Java,Academic,2023/06/24,assistant data,2023/12/13,region search
job posting data,Africa,Nigeria,Startup,2024/06/28,Sunday,Morning (6AM-12PM),Design,2023/12/01,Asia,Internship,Python,Small Business,2024/03/19,promotional event data,2023/07/04,region search
user data,Australia,Australia,Academic,2023/09/14,Tuesday,Evening (6PM-12AM),Engineering,2024/09/09,Australia,Full-Time,Java,Enterprise,2023/03/09,assistant data,2024/10/16,job search
assistant data,South America,Argentina,Startup,2023/12/09,Saturday,Night (12AM-6AM),Marketing,2024/02/06,Asia,Part-Time,Python,Individual,2024/03/23,assistant data,2024/05/18,category query
user data,Europe,UK,Enterprise,2024/10/22,Thursday,Evening (6PM-12AM),Engineering,2023/10/03,Australia,Full-Time,Excel,Individual,2023/02/26,job posting data,2024/12/20,region search
assistant data,Asia,India,Academic,2024/04/01,Sunday,Evening (6PM-12AM),Marketing,2024/06/21,Australia,Contract,SQL,Individual,2023/03/05,job posting data,2023/08/24,job search
demographic data,North America,Canada,Individual,2023/09/14,Sunday,Morning (6AM-12PM),Product Management,2023/10/04,Asia,Contract,C++,Enterprise,2024/04/04,assistant data,2023/12/09,region search
assistant data,North America,Canada,Small Business,2024/12/30,Sunday,Night (12AM-6AM),Marketing,2024/02/20,Australia,Contract,Java,Small Business,2023/07/05,job posting data,2023/03/04,job search
user data,North America,Canada,Individual,2024/12/08,Friday,Evening (6PM-12AM),Customer Support,2023/05/14,Australia,Contract,C++,Small Business,2024/05/03,assistant data,2023/01/12,region search
assistant data,North America,Canada,Individual,2024/10/23,Wednesday,Night (12AM-6AM),Product Management,2024/07/13,Europe,Full-Time,Python,Academic,2024/08/31,promotional event data,2023/03/12,region search
user data,Australia,Australia,Small Business,2023/02/16,Friday,Evening (6PM-12AM),Product Management,2024/09/25,South America,Internship,Python,Enterprise,2023/09/07,assistant data,2023/12/10,category query
assistant data,Asia,China,Startup,2024/06/08,Sunday,Afternoon (12PM-6PM),Engineering,2024/10/06,North America,Contract,Java,Academic,2024/01/25,job posting data,2023/11/05,region search
user data,Europe,UK,Individual,2024/07/01,Wednesday,Night (12AM-6AM),Product Management,2023/12/26,Europe,Part-Time,Excel,Enterprise,2023/07/29,assistant data,2024/04/27,job search
job type data,North America,Mexico,Enterprise,2023/05/13,Tuesday,Morning (6AM-12PM),Engineering,2023/04/29,Australia,Part-Time,Python,Academic,2024/03/02,job posting data,2023/03/21,job search
job type data,Africa,Kenya,Small Business,2024/09/18,Friday,Evening (6PM-12AM),Product Management,2024/06/16,Australia,Internship,JavaScript,Individual,2024/01/13,job posting data,2023/08/18,job search
promotional event data,Asia,India,Small Business,2023/12/24,Friday,Morning (6AM-12PM),Engineering,2023/01/24,Africa,Contract,Excel,Academic,2023/06/22,promotional event data,2024/06/10,category query
job type data,Australia,Australia,Academic,2023/12/20,Saturday,Afternoon (12PM-6PM),Sales,2024/02/17,Africa,Internship,Excel,Enterprise,2024/06/02,job posting data,2023/06/21,job search
demographic data,Africa,Kenya,Startup,2023/01/03,Tuesday,Evening (6PM-12AM),Sales,2024/02/09,South America,Internship,Excel,Individual,2023/03/03,promotional event data,2023/08/22,job search
job posting data,Asia,Japan,Enterprise,2023/05/12,Monday,Night (12AM-6AM),Customer Support,2024/11/09,South America,Full-Time,Java,Academic,2023/12/08,assistant data,2023/02/02,job search
user data,Africa,Nigeria,Small Business,2024/06/09,Wednesday,Evening (6PM-12AM),Customer Support,2024/01/20,Africa,Contract,SQL,Small Business,2024/01/30,job posting data,2024/08/09,region search
demographic data,Africa,Kenya,Individual,2023/03/29,Monday,Night (12AM-6AM),Product Management,2024/10/23,Australia,Part-Time,Java,Academic,2024/01/04,assistant data,2023/01/22,job search
job type data,Europe,Germany,Enterprise,2023/07/09,Friday,Evening (6PM-12AM),Design,2023/07/07,Australia,Full-Time,Java,Academic,2024/12/25,promotional event data,2024/09/05,job search
demographic data,Africa,Nigeria,Startup,2023/01/14,Tuesday,Night (12AM-6AM),Design,2024/11/20,Europe,Full-Time,SQL,Small Business,2024/09/26,assistant data,2024/05/05,job search
job type data,South America,Argentina,Enterprise,2023/07/20,Friday,Evening (6PM-12AM),Sales,2024/03/11,Australia,Part-Time,JavaScript,Academic,2023/05/20,job posting data,2024/10/06,region search
assistant data,Europe,Germany,Small Business,2023/09/20,Tuesday,Morning (6AM-12PM),Product Management,2024/07/19,Africa,Full-Time,Python,Individual,2024/06/23,promotional event data,2024/02/16,job search
promotional event data,Australia,Australia,Small Business,2024/01/26,Sunday,Night (12AM-6AM),Design,2023/05/30,North America,Contract,JavaScript,Academic,2023/05/20,assistant data,2023/07/04,region search
assistant data,South America,Chile,Startup,2024/12/12,Monday,Afternoon (12PM-6PM),Product Management,2023/03/27,Australia,Part-Time,Excel,Enterprise,2023/10/06,promotional event data,2024/05/02,category query
job type data,South America,Chile,Startup,2023/01/02,Sunday,Evening (6PM-12AM),Product Management,2024/01/15,North America,Part-Time,C++,Individual,2023/03/26,promotional event data,2023/08/27,job search
job posting data,Europe,France,Academic,2023/11/15,Monday,Evening (6PM-12AM),Sales,2023/10/08,Asia,Part-Time,JavaScript,Academic,2024/07/27,promotional event data,2023/06/28,region search
user data,Australia,Australia,Startup,2024/05/26,Monday,Morning (6AM-12PM),Sales,2024/07/22,South America,Part-Time,Java,Individual,2023/09/25,assistant data,2023/01/24,region search
assistant data,Africa,Nigeria,Individual,2023/12/20,Saturday,Evening (6PM-12AM),Product Management,2024/11/06,Asia,Internship,SQL,Enterprise,2023/03/15,promotional event data,2023/04/23,region search
assistant data,North America,USA,Academic,2024/12/09,Tuesday,Evening (6PM-12AM),Sales,2024/09/20,Africa,Contract,Excel,Small Business,2024/06/02,assistant data,2023/04/28,category query
demographic data,South America,Argentina,Small Business,2023/03/08,Wednesday,Morning (6AM-12PM),Customer Support,2024/08/11,North America,Part-Time,Python,Small Business,2023/05/27,promotional event data,2024/10/17,job search
job type data,Europe,UK,Startup,2024/05/01,Wednesday,Night (12AM-6AM),Product Management,2023/11/05,South America,Contract,Python,Individual,2023/02/14,assistant data,2023/03/24,category query
assistant data,Australia,Australia,Small Business,2024/04/02,Thursday,Evening (6PM-12AM),Marketing,2024/10/21,North America,Contract,Python,Small Business,2023/08/13,promotional event data,2023/12/22,job search
assistant data,Africa,Kenya,Enterprise,2023/03/04,Sunday,Afternoon (12PM-6PM),Marketing,2024/01/03,Asia,Internship,Excel,Individual,2024/01/03,job posting data,2024/04/30,region search
assistant data,South America,Chile,Enterprise,2024/07/10,Wednesday,Evening (6PM-12AM),Sales,2024/07/10,North America,Contract,JavaScript,Academic,2023/09/11,assistant data,2024/07/21,region search
job posting data,Europe,France,Academic,2024/07/03,Wednesday,Night (12AM-6AM),Product Management,2023/12/16,North America,Part-Time,C++,Small Business,2023/04/29,job posting data,2023/03/14,job search
demographic data,Europe,Germany,Academic,2024/08/05,Sunday,Morning (6AM-12PM),Product Management,2023/09/11,Asia,Part-Time,Java,Individual,2024/08/22,assistant data,2024/10/27,category query
promotional event data,Australia,Australia,Individual,2023/11/05,Friday,Morning (6AM-12PM),Design,2024/08/28,South America,Internship,Excel,Individual,2024/06/05,assistant data,2024/10/08,category query
promotional event data,Europe,France,Small Business,2023/09/26,Monday,Afternoon (12PM-6PM),Engineering,2024/06/10,Europe,Contract,SQL,Academic,2024/11/09,assistant data,2024/09/02,region search
job posting data,North America,Canada,Small Business,2023/01/21,Friday,Morning (6AM-12PM),Product Management,2024/03/27,Europe,Part-Time,Java,Academic,2023/06/11,promotional event data,2024/10/23,category query
assistant data,North America,USA,Enterprise,2023/12/25,Thursday,Afternoon (12PM-6PM),Product Management,2024/06/17,North America,Full-Time,JavaScript,Academic,2023/08/09,assistant data,2023/10/23,job search
promotional event data,South America,Brazil,Startup,2023/03/01,Friday,Evening (6PM-12AM),Engineering,2023/03/11,North America,Internship,SQL,Individual,2023/01/24,job posting data,2023/03/10,region search
job posting data,North America,USA,Enterprise,2024/03/31,Wednesday,Evening (6PM-12AM),Customer Support,2024/09/29,North America,Full-Time,C++,Enterprise,2023/08/26,job posting data,2024/05/05,region search
demographic data,Europe,France,Enterprise,2023/10/04,Friday,Evening (6PM-12AM),Product Management,2023/11/23,Asia,Part-Time,JavaScript,Small Business,2024/09/20,assistant data,2023/12/30,job search
job posting data,South America,Brazil,Academic,2024/08/03,Monday,Morning (6AM-12PM),Design,2023/09/09,Australia,Internship,Python,Individual,2024/03/03,assistant data,2023/01/12,category query
assistant data,North America,Mexico,Startup,2023/07/05,Thursday,Afternoon (12PM-6PM),Engineering,2024/12/06,Australia,Part-Time,Java,Enterprise,2023/09/18,assistant data,2024/03/25,job search
promotional event data,South America,Chile,Startup,2024/05/12,Friday,Afternoon (12PM-6PM),Sales,2024/09/02,Africa,Part-Time,Java,Academic,2023/11/02,job posting data,2024/09/23,job search
job type data,Europe,UK,Enterprise,2023/07/25,Tuesday,Night (12AM-6AM),Product Management,2023/01/10,Australia,Part-Time,C++,Academic,2023/06/06,promotional event data,2024/11/13,region search
job posting data,South America,Chile,Small Business,2024/10/18,Tuesday,Night (12AM-6AM),Design,2024/01/20,Asia,Part-Time,JavaScript,Small Business,2024/03/18,assistant data,2024/09/25,job search
job type data,Asia,Japan,Small Business,2023/08/09,Tuesday,Morning (6AM-12PM),Design,2024/06/11,Asia,Part-Time,Java,Individual,2024/07/26,job posting data,2023/06/09,region search
job posting data,South America,Brazil,Individual,2023/05/06,Saturday,Afternoon (12PM-6PM),Product Management,2024/10/20,North America,Internship,SQL,Academic,2024/02/08,assistant data,2023/05/17,category query
assistant data,Australia,Australia,Academic,2024/07/13,Saturday,Afternoon (12PM-6PM),Engineering,2024/05/20,North America,Contract,SQL,Enterprise,2024/08/12,job posting data,2024/02/12,job search
job type data,Africa,South Africa,Enterprise,2023/07/14,Sunday,Afternoon (12PM-6PM),Marketing,2023/11/22,Europe,Internship,SQL,Individual,2023/01/12,promotional event data,2023/11/14,category query
assistant data,Africa,Kenya,Academic,2023/12/21,Tuesday,Evening (6PM-12AM),Sales,2024/01/07,Africa,Internship,Java,Small Business,2023/03/02,promotional event data,2023/04/24,category query
job type data,Africa,Nigeria,Academic,2024/10/24,Sunday,Morning (6AM-12PM),Customer Support,2023/12/27,Australia,Contract,Python,Enterprise,2023/09/23,job posting data,2023/05/02,region search
job posting data,South America,Brazil,Small Business,2024/11/27,Monday,Evening (6PM-12AM),Sales,2023/06/24,Australia,Part-Time,Excel,Individual,2024/10/28,assistant data,2023/09/08,category query
assistant data,North America,USA,Startup,2023/10/27,Tuesday,Night (12AM-6AM),Sales,2024/11/21,Australia,Part-Time,Python,Individual,2024/11/03,promotional event data,2024/03/20,category query
job posting data,Australia,Australia,Enterprise,2023/09/18,Friday,Night (12AM-6AM),Sales,2023/08/03,Africa,Full-Time,JavaScript,Academic,2024/04/20,assistant data,2024/04/18,region search
promotional event data,South America,Chile,Small Business,2023/04/10,Saturday,Morning (6AM-12PM),Engineering,2024/03/21,Australia,Full-Time,JavaScript,Academic,2023/11/08,assistant data,2023/01/12,category query
job posting data,South America,Chile,Individual,2023/04/18,Friday,Morning (6AM-12PM),Sales,2024/11/04,Europe,Contract,Java,Enterprise,2024/03/03,assistant data,2024/07/02,region search
demographic data,Australia,Australia,Enterprise,2023/01/16,Sunday,Night (12AM-6AM),Customer Support,2023/04/03,South America,Internship,Python,Academic,2023/04/05,job posting data,2023/07/22,job search
job type data,Australia,Australia,Enterprise,2023/10/05,Saturday,Night (12AM-6AM),Customer Support,2024/08/23,North America,Contract,JavaScript,Enterprise,2023/09/15,job posting data,2024/07/17,region search
job type data,South America,Chile,Enterprise,2023/12/01,Tuesday,Morning (6AM-12PM),Sales,2023/11/17,Africa,Contract,Excel,Individual,2024/12/15,job posting data,2023/11/05,job search
user data,Europe,France,Individual,2024/04/12,Thursday,Morning (6AM-12PM),Product Management,2023/01/01,Asia,Contract,C++,Academic,2024/01/23,assistant data,2024/05/16,category query
promotional event data,Australia,Australia,Small Business,2024/02/26,Tuesday,Afternoon (12PM-6PM),Sales,2023/10/20,Asia,Contract,Java,Academic,2024/06/23,promotional event data,2023/09/07,category query
assistant data,Australia,Australia,Academic,2024/04/30,Friday,Afternoon (12PM-6PM),Product Management,2024/07/22,Australia,Part-Time,SQL,Individual,2024/04/28,assistant data,2023/11/12,job search
